RunIndex,NodeName,PosX,PosZ,DistanceFromStart,DistanceFromGoal,UnknownCount,WallCount,LinkCount,PassCount,IsDeadEnd,IsBranch
24,Node_131,22,6,8,0,0,1,3,4,0,1
24,Node_130,13,11,6,0,0,1,3,2,0,1
24,Node_129,23,9,6,0,0,1,3,50,0,1
24,Node_128,22,7,7,0,0,1,3,4,0,1
24,Node_127,14,10,6,0,0,1,3,8,0,1
24,Node_126,22,8,6,0,0,1,3,0,0,1
24,Node_125,19,22,15,0,0,1,3,2,0,1
24,Node_124,19,23,16,0,0,0,4,4,0,1
24,Node_123,19,24,17,0,0,1,3,2,0,1
24,Node_122,19,25,18,0,0,1,3,4,0,1
24,Node_121,24,25,19,0,0,1,3,6,0,1
24,Node_120,24,24,18,0,0,1,3,2,0,1
24,Node_119,24,23,17,0,0,1,3,2,0,1
24,Node_118,9,18,17,0,2,1,1,0,1,0
24,Node_117,24,22,16,0,0,0,4,2,0,1
24,Node_116,9,17,16,0,1,1,2,0,0,0
24,Node_115,9,16,15,0,1,1,2,0,0,0
24,Node_114,24,20,14,0,0,1,3,2,0,1
24,Node_113,9,15,14,0,0,0,4,2,0,1
24,Node_112,25,20,15,0,0,2,2,0,0,0
24,Node_111,10,15,13,0,0,2,2,0,0,0
24,Node_110,25,19,14,0,0,1,3,2,0,1
24,Node_109,10,14,12,0,0,0,4,2,0,1
24,Node_108,25,18,13,0,0,0,4,4,0,1
24,Node_107,25,16,11,0,0,1,3,2,0,1
24,Node_106,25,17,12,0,0,0,4,6,0,1
